"","gene_id","H_value","p_value","stat_test_adj_p","cluster1_mean","cluster1_sd","cluster1_sem","cluster2_mean","cluster2_sd","cluster2_sem","cluster1_penetrance","cluster2_penetrance","cluster1_cluster2_pval","cluster1_cluster2_differential","cluster2_cluster1_differential","cluster1_cluster2_sd","cluster2_cluster1_sd"
"4556","QSOX1",47,0.0331539562176256,0.148198510290389,-0.247109002190754,0.327349453608828,0.0874878215108489,0.0100749924556746,0.183411704491574,0.05086925423574,0.214285714285714,0.538461538461538,NA,-0.257183994646429,0.257183994646429,0.375229953658424,0.375229953658424
"4557","STXBP3",106,0.487948031488212,0.643390289265737,0.0189307685808306,0.358854562616734,0.0959079160708881,-0.0120475269956056,0.23993909982151,0.0665471328765481,0.571428571428571,0.461538461538462,NA,0.0309782955764362,-0.0309782955764362,0.431679706187358,0.431679706187358
"4558","PHF13",126,0.0944789937332675,0.249509320388267,-0.0288625755362287,0.378937649616557,0.101275346843896,-0.119874305464381,0.301749996992609,0.0836903912713814,0.714285714285714,0.461538461538462,NA,0.0910117299281523,-0.0910117299281523,0.484403553849433,0.484403553849433
"4559","ERRFI1",27,0.00125524097256497,0.0226441486558744,-0.368583158765702,0.629144468277516,0.168145931934181,0.394193968823168,0.337482749618817,0.0936008737180939,0.357142857142857,0.846153846153846,NA,-0.76277712758887,0.76277712758887,0.713944933628971,0.713944933628971
"4560","PARK7",110,0.37538624908392,0.534709839918087,0.0450513861995244,0.150521369822885,0.0402285282332236,-0.0446547821272508,0.155121668393309,0.0430230099482768,0.5,0.461538461538462,NA,0.0897061683267752,-0.0897061683267752,0.216146743622201,0.216146743622201
"4561","ELAPOR1",152,0.00227516788561344,0.0317492022913774,0.277041987091928,0.245069248341982,0.0654975116664225,-0.200987538937147,0.479071007293972,0.132870390875892,0.857142857142857,0.230769230769231,NA,0.478029526029075,-0.478029526029075,0.538115198180246,0.538115198180246
"4562","OPRD1",170.5,0.000124207853117718,0.00621544090055114,0.0774527010517845,0.0821879107468541,0.0219656430963917,-0.0360712430865077,0.0799376753758258,0.0221707221083796,0.857142857142857,0.230769230769231,NA,0.113523944138292,-0.113523944138292,0.114651143114335,0.114651143114335
"4563","AMPD2",28,0.0015382161000683,0.0256071817131934,-0.435971021685736,0.375636110837624,0.100392973489616,0.0728386012171309,0.290484118723937,0.0805657988282403,0.142857142857143,0.538461538461538,NA,-0.508809622902867,0.508809622902867,0.474851040849694,0.474851040849694
"4564","SRSF4",92,0.980971667588978,0.999266816243337,-0.212803635129569,0.384163782699249,0.102672089661976,-0.140499974528354,0.223319175314347,0.0619375951838623,0.428571428571429,0.384615384615385,NA,-0.072303660601215,0.072303660601215,0.44435713789797,0.44435713789797
"4565","MECR",59,0.127858691913073,0.309363069587668,-0.262313986331536,0.243414486058293,0.0650552578434138,-0.119324701302298,0.273850732386061,0.0759525274954854,0.142857142857143,0.307692307692308,NA,-0.142989285029238,0.142989285029238,0.366394371751812,0.366394371751812
"4566","KCNC4",73,0.401961581988504,0.562508711057738,-0.252272208887986,0.410011684609252,0.109580232027274,-0.128254164459469,0.271341084821657,0.0752564764972698,0.357142857142857,0.384615384615385,NA,-0.124018044428517,0.124018044428517,0.491666112141472,0.491666112141472
