"Method","Cell_Type","Timepoint","test","p_value","FDR","n_clusters","note","C1_n","C2_n","C3_n","C1_mean","C2_mean","C3_mean","C1_sd","C2_sd","C3_sd"
"quantiseq","NK cell","Biopsy","kruskal",0.208070498860351,0.298552794456395,3,NA,14,11,11,0.0135267504841359,0.00913692704837289,0.00957457955076283,0.00897187288868343,0.00425673154981323,0.00380756221179358
"quantiseq","Neutrophil","Biopsy","kruskal",0.585405192095626,0.648448828167463,3,NA,14,11,11,0.0290524488842592,0.0379673468133632,0.0326789266878412,0.0180428615922178,0.0209282150790092,0.0111811659832605
"quantiseq","T cell CD4+ (non-regulatory)","Biopsy","kruskal",0.00854840266028779,0.038467811971295,3,NA,14,11,11,0.0361097919278132,0.00926515904669426,0.0288245865615164,0.0320020371266457,0.0226044148496555,0.0193253293798733
"quantiseq","T cell CD8+","Biopsy","kruskal",0.029461234531151,0.0826445020614106,3,NA,14,11,11,0.0146612423227392,0.0275784778838819,0.00949665128789822,0.0127361745392255,0.0179448782960071,0.012531551776976
"quantiseq","T cell regulatory (Tregs)","Biopsy","kruskal",0.0134741929418475,0.0510600995691061,3,NA,14,11,11,0.0155217203437423,0.0244808598196516,0.0113947784053604,0.00643176195899331,0.012534896795408,0.00761612865334604
"quantiseq","uncharacterized cell","Biopsy","kruskal",0.128548270219627,0.211957453186561,3,NA,14,11,11,0.768437295469377,0.749933612131169,0.812886082561759,0.0689870956459285,0.0960505724789538,0.0485596908383066
"timer","B cell","Biopsy","kruskal",0.237932814836062,0.33372394808175,3,NA,14,11,11,0.0990890249088847,0.12531322259514,0.0983425938100251,0.0212149175742824,0.048634568735926,0.0274265895760673
"timer","Macrophage","Biopsy","kruskal",0.0724881955192639,0.144529618749405,3,NA,14,11,11,0.054035800213992,0.038110115617313,0.037118973058912,0.0356228583068661,0.0795421047939025,0.0223789046860926
"timer","Myeloid dendritic cell","Biopsy","kruskal",0.0219940664904,0.0719805812413092,3,NA,14,11,11,0.472619599583727,0.526349028103039,0.452853172932387,0.0640181872583246,0.0719649386452868,0.0626537158478783
"timer","Neutrophil","Biopsy","kruskal",0.0545523952399525,0.117833173718297,3,NA,14,11,11,0.114509686786334,0.131426715391355,0.12109417918252,0.0157542375489293,0.0233083411899462,0.0134859540826222
"timer","T cell CD4+","Biopsy","kruskal",0.0854061676271495,0.161772108369996,3,NA,14,11,11,0.122728229552663,0.126184239665368,0.103325986421082,0.0241264808306848,0.0353209991766167,0.0168579693979962
"timer","T cell CD8+","Biopsy","kruskal",0.876720855907405,0.901770023219045,3,NA,14,11,11,0.202015927183902,0.201590198732194,0.203076487690319,0.023850516451892,0.0222130201390754,0.0183910517837368
"xcell","B cell","Biopsy","kruskal",0.155490517672914,0.241625552642801,3,NA,14,11,11,0.031242444781086,0.101535870706712,0.0181922634162573,0.0426344618602874,0.129312319654907,0.0378085435377339
"xcell","B cell memory","Biopsy","kruskal",0.570200001669709,0.63486185752916,3,NA,14,11,11,0.00783494755661822,0.0311537396984106,0.00416179140670421,0.0209381414567709,0.0541578072077812,0.0138031005517633
"xcell","B cell naive","Biopsy","kruskal",0.203361116332481,0.298552794456395,3,NA,14,11,11,0.00271974265609285,0.00350240207841751,0.000000000000000000770429354554472,0.00701741010836374,0.011354100249201,0.00000000000000000177559276932327
"xcell","B cell plasma","Biopsy","kruskal",0.00841780294973394,0.038467811971295,3,NA,14,11,11,0.00509042061587369,0.0337579115505797,0.0128355852652367,0.0111284446263123,0.0403587276160827,0.0184491615937298
