"Method","Cell_Type","cluster","n_candidates","n_pairs","n_dropped","n_zero_delta","n_nonzero_delta","mean_biopsy","sd_biopsy","mean_surgery","sd_surgery","mean_delta","sd_delta","p_value","note","FDR"
"mcp_counter","T cell","Fun-CIM",10,10,0,0,10,7.34799,10.4606830939415,11.1191481333333,12.8258349601141,3.77115813333333,15.4971065785752,1,NA,1
"mcp_counter","T cell CD8+","Fun-CIM",10,10,0,0,10,1.728471,2.45660353328398,2.8552,3.9126369388886,1.126729,4.70440649166868,0.414823067184775,NA,1
"mcp_counter","cytotoxicity score","Fun-CIM",10,10,0,0,10,9.56849242857143,11.1418176404898,18.0787700285714,19.676419055157,8.5102776,19.4426563617922,0.414823067184775,NA,1
"quantiseq","B cell","Dys-CIM",9,9,0,0,9,0.00788874592875145,0.00546741341481669,0.00724980357968284,0.00541947341925903,-0.00063894234906861,0.00897247657012811,0.722282962716192,NA,0.887683070851873
"quantiseq","Macrophage M1","Dys-CIM",9,9,0,0,9,0.0177332508419618,0.0254253388882304,0.00405123712396034,0.0050009534047535,-0.0136820137180015,0.020911466345566,0.00915168885265007,NA,0.0894308852545316
"quantiseq","Macrophage M2","Dys-CIM",9,9,0,0,9,0.0705964321646495,0.0314291884053531,0.0546758826091961,0.0248456663479203,-0.0159205495554534,0.0360991561470609,0.286320596793059,NA,0.73640997186125
"quantiseq","Monocyte","Dys-CIM",9,9,0,8,1,0.00101941163532101,0.00305823490596304,0,0,-0.00101941163532101,0.00305823490596304,1,NA,1
"quantiseq","Myeloid dendritic cell","Dys-CIM",9,9,0,8,1,0.00144458152129133,0.004333744563874,0,0,-0.00144458152129133,0.004333744563874,1,NA,1
"quantiseq","NK cell","Dys-CIM",9,9,0,0,9,0.00282235512170403,0.00219828633518101,0.000931887710079683,0.00082766694684576,-0.00189046741162434,0.00195480459830038,0.0178171887595787,NA,0.0894308852545316
"quantiseq","Neutrophil","Dys-CIM",9,9,0,1,8,0.0117809247047936,0.0159377958323199,0.00883481653952525,0.00910959295964739,-0.00294610816526837,0.0196994215481845,0.726286148878805,NA,0.887683070851873
"quantiseq","T cell CD4+ (non-regulatory)","Dys-CIM",9,9,0,3,6,0.00123606977736004,0.00261268460550119,0.00461703231673399,0.00849101200404185,0.00338096253937396,0.00946639644264021,0.401678166469773,NA,0.73640997186125
"quantiseq","T cell CD8+","Dys-CIM",9,9,0,0,9,0.0168892710925809,0.0206229591162431,0.00715658813900065,0.00703099172668401,-0.0097326829535803,0.0242036002962952,0.343252562436031,NA,0.73640997186125
"quantiseq","T cell regulatory (Tregs)","Dys-CIM",9,9,0,0,9,0.0139543663870935,0.00985508640626423,0.00969830669861227,0.00969041272202097,-0.00425605968848121,0.012872451657726,0.47719661998877,NA,0.749880402839496
"quantiseq","uncharacterized cell","Dys-CIM",9,9,0,0,9,0.854634590824493,0.0527916526431987,0.902784445283209,0.0511675241830662,0.0481498544587161,0.0640274611087575,0.0243902414330541,NA,0.0894308852545316
